field_id,release_datetime_et,event,ref_period,A,C,raw_surprise
ism_manufacturing,2025-11-03 10:00:00,ISM Manufacturing PMI  (Oct),2025-10,48.7,49.4,-0.6999999999999957
ism_services,2025-11-05 10:00:00,ISM Non-Manufacturing PMI  (Oct),2025-10,52.4,50.7,1.6999999999999957
nonfarm_payrolls,2025-11-20 08:30:00,Nonfarm Payrolls  (Sep),2025-09,119000.0,53000.0,66000.0
unemployment_rate,2025-11-20 08:30:00,Unemployment Rate  (Sep),2025-09,4.4,4.3,0.10000000000000053
existing_home_sales,2025-11-20 10:00:00,Existing Home Sales  (Oct),2025-10,4100000.0,4080000.0,20000.0
ppi,2025-11-25 08:30:00,PPI (MoM)  (Sep),2025-09,0.3,0.3,0.0
retail_sales,2025-11-25 08:30:00,Retail Sales (MoM)  (Sep),2025-09,0.2,0.4,-0.2
durable_goods,2025-11-26 08:30:00,Durable Goods Orders (MoM)  (Sep),2025-09,0.5,0.5,0.0
ism_manufacturing,2025-12-01 10:00:00,ISM Manufacturing PMI  (Nov),2025-11,48.2,49.0,-0.7999999999999972
industrial_production,2025-12-03 09:15:00,Industrial Production (MoM)  (Sep),2025-09,0.1,0.1,0.0
ism_services,2025-12-03 10:00:00,ISM Non-Manufacturing PMI  (Nov),2025-11,52.6,52.0,0.6000000000000014
pce_price_index,2025-12-05 10:00:00,PCE price index (MoM)  (Sep),2025-09,0.3,0.3,0.0
real_pce,2025-12-05 10:00:00,Real Personal Consumption (MoM)  (Sep),2025-09,0.0,0.1,-0.1
nonfarm_payrolls,2025-12-16 08:29:00,Nonfarm Payrolls  (Oct),2025-10,-105000.0,,
nonfarm_payrolls,2025-12-16 08:30:00,Nonfarm Payrolls  (Nov),2025-11,64000.0,51000.0,13000.0
retail_sales,2025-12-16 08:30:00,Retail Sales (MoM)  (Oct),2025-10,0.0,0.1,-0.1
unemployment_rate,2025-12-16 08:30:00,Unemployment Rate  (Nov),2025-11,4.6,4.5,0.09999999999999964
cpi,2025-12-18 08:30:00,CPI (YoY)  (Nov),2025-11,2.7,3.1,-0.3999999999999999
existing_home_sales,2025-12-19 10:00:00,Existing Home Sales  (Nov),2025-11,4130000.0,4150000.000000001,-20000.00000000093
durable_goods,2025-12-23 08:30:00,Durable Goods Orders (MoM)  (Oct),2025-10,-2.2,-1.5,-0.7000000000000002
real_gdp_advance,2025-12-23 08:30:00,GDP (QoQ)  (Q3),2025-Q3,4.3,3.3,1.0
industrial_production,2025-12-23 09:14:00,Industrial Production (MoM)  (Oct),2025-10,-0.1,0.1,-0.2
industrial_production,2025-12-23 09:15:00,Industrial Production (MoM)  (Nov),2025-11,0.2,,
ism_manufacturing,2026-01-05 10:00:00,ISM Manufacturing PMI  (Dec),2025-12,47.9,48.3,-0.3999999999999986
ism_services,2026-01-07 10:00:00,ISM Non-Manufacturing PMI  (Dec),2025-12,54.4,52.2,2.1999999999999957
building_permits,2026-01-09 08:29:00,Building Permits  (Sep),2025-09,1415000.0,1350000.0,65000.0
housing_starts,2026-01-09 08:29:00,Housing Starts  (Sep),2025-09,1306000.0,1330000.0,-24000.0
building_permits,2026-01-09 08:30:00,Building Permits  (Oct),2025-10,1412000.0,1415000.0,-3000.0
housing_starts,2026-01-09 08:30:00,Housing Starts  (Oct),2025-10,1246000.0,,
nonfarm_payrolls,2026-01-09 08:30:00,Nonfarm Payrolls  (Dec),2025-12,50000.0,66000.0,-16000.0
unemployment_rate,2026-01-09 08:30:00,Unemployment Rate  (Dec),2025-12,4.4,4.5,-0.09999999999999964
cpi,2026-01-13 08:30:00,CPI (YoY)  (Dec),2025-12,2.7,2.7,0.0
new_home_sales,2026-01-13 09:59:00,New Home Sales  (Sep),2025-09,738000.0,,
