field_id,release_datetime_et,event,event_base_matched,actual,forecast,ref_period
real_gdp_advance,2013-12-20 08:30:00,GDP (QoQ),GDP (QoQ),4.1,3.6,2013-11
real_gdp_advance,2014-08-28 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),4.2,3.9,2014-Q2
real_gdp_advance,2014-09-26 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),4.6,4.6,2014-Q2
real_gdp_advance,2014-11-25 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),3.9,3.3,2014-Q3
real_gdp_advance,2014-12-23 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),5.0,4.3,2014-Q3
real_gdp_advance,2015-02-27 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),2.2,2.1,2014-Q4
real_gdp_advance,2015-03-27 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),2.2,2.4,2014-Q4
real_gdp_advance,2015-05-29 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),-0.7,-0.8,2015-Q1
real_gdp_advance,2015-06-24 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),-0.2,-0.2,2015-Q1
real_gdp_advance,2015-08-27 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),3.7,3.2,2015-Q2
real_gdp_advance,2015-09-25 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),3.9,3.7,2015-Q2
real_gdp_advance,2015-11-24 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),2.1,2.1,2015-Q3
real_gdp_advance,2015-12-22 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),2.0,1.9,2015-Q3
real_gdp_advance,2016-02-26 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),1.0,0.4,2015-Q4
real_gdp_advance,2016-03-25 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),1.4,1.0,2015-Q4
real_gdp_advance,2016-05-27 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),0.8,0.9,2016-Q1
real_gdp_advance,2016-06-28 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),1.1,1.0,2016-Q1
real_gdp_advance,2016-08-26 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),1.1,1.1,2016-Q2
real_gdp_advance,2016-09-29 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),1.4,1.3,2016-Q2
real_gdp_advance,2016-11-29 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),3.2,3.0,2016-Q3
real_gdp_advance,2016-12-22 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),3.5,3.3,2016-Q3
real_gdp_advance,2017-02-28 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),1.9,2.1,2016-Q4
real_gdp_advance,2017-03-30 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),2.1,2.0,2016-Q4
real_gdp_advance,2017-05-26 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),1.2,0.9,2017-Q1
real_gdp_advance,2017-06-29 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),1.4,1.2,2017-Q1
real_gdp_advance,2017-08-30 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),3.0,2.7,2017-Q2
real_gdp_advance,2017-09-28 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),3.1,3.0,2017-Q2
real_gdp_advance,2017-11-29 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),3.3,3.2,2017-Q3
real_gdp_advance,2017-12-21 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),3.2,3.3,2017-Q3
real_gdp_advance,2018-02-28 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),2.5,2.5,2017-Q4
real_gdp_advance,2018-03-28 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),2.9,2.7,2017-Q4
real_gdp_advance,2018-05-30 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),2.2,2.3,2018-Q1
real_gdp_advance,2018-06-28 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),2.0,2.2,2018-Q1
real_gdp_advance,2018-08-29 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),4.2,4.0,2018-Q2
real_gdp_advance,2018-09-27 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),4.2,4.2,2018-Q2
real_gdp_advance,2018-11-28 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),3.5,3.6,2018-Q3
real_gdp_advance,2018-12-21 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),3.4,3.5,2018-Q3
real_gdp_advance,2019-03-28 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),2.2,2.4,2018-Q4
real_gdp_advance,2019-05-30 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),3.1,3.1,2019-Q1
real_gdp_advance,2019-06-27 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),3.1,3.1,2019-Q1
real_gdp_advance,2019-08-29 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),2.0,2.0,2019-Q2
real_gdp_advance,2019-09-26 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),2.0,2.0,2019-Q2
real_gdp_advance,2019-11-27 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),2.1,1.9,2019-Q3
real_gdp_advance,2019-12-20 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),2.1,2.1,2019-Q3
real_gdp_advance,2020-02-27 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),2.1,2.1,2019-Q4
real_gdp_advance,2020-03-26 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),2.1,2.1,2019-Q4
real_gdp_advance,2020-05-28 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),-5.0,-4.8,2020-Q1
real_gdp_advance,2020-06-25 08:30:00,GDP (QoQ)  (Q1),GDP (QoQ),-5.0,-5.0,2020-Q1
real_gdp_advance,2020-08-27 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),-31.7,-32.5,2020-Q2
real_gdp_advance,2020-09-30 08:30:00,GDP (QoQ)  (Q2),GDP (QoQ),-31.4,-31.7,2020-Q2
real_gdp_advance,2020-11-25 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),33.1,33.2,2020-Q3
real_gdp_advance,2020-12-22 08:30:00,GDP (QoQ)  (Q3),GDP (QoQ),33.4,33.1,2020-Q3
real_gdp_advance,2021-02-25 08:30:00,GDP (QoQ)  (Q4),GDP (QoQ),4.1,4.2,2020-Q4
