field_id,release_datetime_et,event,event_base_matched,A,C,raw_surprise
ism_manufacturing,2010-01-04 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,55.9,54.0,1.8999999999999986
ism_services,2010-01-06 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,50.1,50.5,-0.3999999999999986
nonfarm_payrolls,2010-01-08 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,-85000.0,0.0,-85000.0
unemployment_rate,2010-01-08 08:30:00,Unemployment Rate,Unemployment Rate,10.0,10.1,-0.09999999999999964
retail_sales,2010-01-14 08:30:00,Retail Sales (MoM),Retail Sales (MoM),-0.3,0.4,-0.7
industrial_production,2010-01-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.6,0.6,0.0
building_permits,2010-01-20 08:30:00,Building Permits,Building Permits,650000.0,590000.0,60000.0
housing_starts,2010-01-20 08:30:00,Housing Starts,Housing Starts,560000.0,580000.0,-20000.0
ppi,2010-01-20 08:30:00,PPI (MoM),PPI (MoM),0.2,0.1,0.1
existing_home_sales,2010-01-25 10:00:00,Existing Home Sales,Existing Home Sales,5450000.0,5950000.0,-500000.0
new_home_sales,2010-01-27 10:00:00,New Home Sales,New Home Sales,342000.0,370000.0,-28000.0
durable_goods,2010-01-28 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),0.3,2.0,-1.7
real_gdp_advance,2010-01-29 08:30:00,GDP (QoQ),GDP (QoQ),5.7,4.5,1.2000000000000002
ism_manufacturing,2010-02-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,58.4,55.2,3.1999999999999957
ism_services,2010-02-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,50.5,51.0,-0.5
nonfarm_payrolls,2010-02-05 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,-20000.0,15000.0,-35000.0
unemployment_rate,2010-02-05 08:30:00,Unemployment Rate,Unemployment Rate,9.7,10.0,-0.3000000000000007
retail_sales,2010-02-12 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.5,0.4,0.09999999999999998
building_permits,2010-02-17 08:30:00,Building Permits,Building Permits,620000.0,620000.0,0.0
housing_starts,2010-02-17 08:30:00,Housing Starts,Housing Starts,590000.0,580000.0,10000.0
industrial_production,2010-02-17 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.9,0.7,0.20000000000000007
ppi,2010-02-18 08:30:00,PPI (MoM),PPI (MoM),1.4,0.8,0.5999999999999999
new_home_sales,2010-02-24 10:00:00,New Home Sales,New Home Sales,309000.0,354000.0,-45000.0
durable_goods,2010-02-25 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),3.0,1.5,1.5
real_gdp_advance,2010-02-26 08:30:00,GDP (QoQ),GDP (QoQ),5.9,5.6,0.3000000000000007
existing_home_sales,2010-02-26 10:00:00,Existing Home Sales,Existing Home Sales,5050000.0,5500000.0,-450000.0
ism_manufacturing,2010-03-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,56.5,58.0,-1.5
ism_services,2010-03-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,53.0,51.0,2.0
nonfarm_payrolls,2010-03-05 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,-36000.0,-55000.0,19000.0
unemployment_rate,2010-03-05 08:30:00,Unemployment Rate,Unemployment Rate,9.7,9.8,-0.10000000000000142
retail_sales,2010-03-12 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.3,-0.1,0.4
industrial_production,2010-03-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.1,0.0,0.1
building_permits,2010-03-16 08:30:00,Building Permits,Building Permits,610000.0,600000.0,10000.0
housing_starts,2010-03-16 08:30:00,Housing Starts,Housing Starts,580000.0,570000.0,10000.0
ppi,2010-03-17 08:30:00,PPI (MoM),PPI (MoM),-0.6,-0.2,-0.39999999999999997
existing_home_sales,2010-03-23 10:00:00,Existing Home Sales,Existing Home Sales,5020000.0,5000000.0,20000.0
durable_goods,2010-03-24 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),0.5,0.7,-0.19999999999999996
new_home_sales,2010-03-24 10:00:00,New Home Sales,New Home Sales,308000.0,315000.0,-7000.0
real_gdp_advance,2010-03-26 08:30:00,GDP (QoQ),GDP (QoQ),5.6,5.9,-0.3000000000000007
ism_manufacturing,2010-04-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,59.6,57.0,2.6000000000000014
nonfarm_payrolls,2010-04-02 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,162000.0,190000.0,-28000.0
unemployment_rate,2010-04-02 08:30:00,Unemployment Rate,Unemployment Rate,9.7,9.7,0.0
ism_services,2010-04-05 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,55.4,53.5,1.8999999999999986
retail_sales,2010-04-14 08:30:00,Retail Sales (MoM),Retail Sales (MoM),1.6,1.1,0.5
industrial_production,2010-04-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.1,0.7,-0.6
building_permits,2010-04-16 08:30:00,Building Permits,Building Permits,690000.0,630000.0,60000.0
housing_starts,2010-04-16 08:30:00,Housing Starts,Housing Starts,630000.0,610000.0,20000.0
ppi,2010-04-22 08:30:00,PPI (MoM),PPI (MoM),0.7,0.4,0.29999999999999993
existing_home_sales,2010-04-22 10:00:00,Existing Home Sales,Existing Home Sales,5350000.0,5300000.0,50000.0
durable_goods,2010-04-23 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-1.3,0.2,-1.5
new_home_sales,2010-04-23 10:00:00,New Home Sales,New Home Sales,411000.0,325000.0,86000.0
