Date (UTC),Timestamp (UTC),≤2.0%,2.1%,2.2%,2.3%,2.4%,2.5%,2.6%,2.7%,≥2.8%
02-13-2026 23:00,1771023600,0.41,0.41,0.41,0.41,0.425,0.41,0.41,0.41,0.41
02-14-2026 00:00,1771027200,0.405,0.405,0.41,0.41,0.425,0.41,0.41,0.41,0.41
02-14-2026 01:00,1771030800,0.355,0.355,0.355,0.355,0.37,0.355,0.355,0.355,0.355
02-14-2026 02:00,1771034400,0.365,0.355,0.355,0.355,0.375,0.355,0.355,0.355,0.305
02-14-2026 03:00,1771038000,0.36,0.355,0.355,0.35,0.375,0.355,0.355,0.355,0.305
02-14-2026 04:00,1771041600,0.365,0.355,0.355,0.35,0.375,0.355,0.355,0.355,0.305
02-14-2026 05:00,1771045200,0.37,0.355,0.355,0.355,0.37,0.355,0.355,0.355,0.305
02-14-2026 06:00,1771048800,0.36,0.355,0.355,0.355,0.37,0.355,0.355,0.355,0.305
02-14-2026 07:00,1771052400,0.36,0.345,0.345,0.355,0.37,0.345,0.345,0.345,0.305
02-14-2026 08:00,1771056000,0.285,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.28
02-14-2026 09:00,1771059600,0.29,0.28,0.28,0.28,0.295,0.28,0.28,0.28,0.28
02-14-2026 10:00,1771063200,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.28
02-14-2026 11:00,1771066800,0.285,0.275,0.28,0.28,0.3,0.275,0.28,0.275,0.275
02-14-2026 12:00,1771070400,0.28,0.275,0.27,0.27,0.29,0.275,0.27,0.275,0.275
02-14-2026 13:00,1771074000,0.28,0.275,0.27,0.27,0.29,0.275,0.27,0.275,0.275
02-14-2026 14:00,1771077600,0.285,0.275,0.27,0.27,0.295,0.275,0.27,0.275,0.275
02-14-2026 15:00,1771081200,0.28,0.275,0.27,0.27,0.29,0.275,0.27,0.275,0.275
02-14-2026 16:00,1771084800,0.29,0.275,0.26,0.27,0.295,0.275,0.27,0.275,0.275
02-14-2026 17:00,1771088400,0.27,0.25,0.275,0.275,0.3,0.28,0.27,0.275,0.275
02-14-2026 18:00,1771092000,0.27,0.25,0.275,0.265,0.3,0.28,0.27,0.275,0.275
02-14-2026 19:00,1771095600,0.27,0.25,0.275,0.275,0.3,0.28,0.27,0.275,0.275
02-14-2026 21:00,1771102800,0.27,0.25,0.275,0.275,0.3,0.28,0.27,0.275,0.275
02-14-2026 22:00,1771106400,0.265,0.25,0.26,0.26,0.305,0.285,0.275,0.28,0.28
02-14-2026 23:00,1771110000,0.145,0.25,0.255,0.275,0.3,0.28,0.27,0.275,0.265
02-15-2026 00:00,1771113600,0.145,0.25,0.265,0.215,0.3,0.28,0.27,0.275,0.265
02-15-2026 01:00,1771117200,0.15,0.25,0.265,0.285,0.305,0.285,0.27,0.275,0.245
02-15-2026 02:00,1771120800,0.145,0.245,0.265,0.26,0.31,0.27,0.265,0.275,0.245
02-15-2026 03:00,1771124400,0.145,0.245,0.22,0.2,0.275,0.285,0.265,0.275,0.24
02-15-2026 04:00,1771128000,0.16,0.23,0.215,0.24,0.315,0.215,0.22,0.22,0.215
02-15-2026 05:00,1771131600,0.12,0.235,0.195,0.205,0.325,0.235,0.24,0.225,0.22
02-15-2026 06:00,1771135200,0.12,0.195,0.135,0.165,0.32,0.16,0.125,0.135,0.135
02-15-2026 07:00,1771138800,0.12,0.205,0.155,0.175,0.26,0.195,0.14,0.18,0.165
02-15-2026 08:00,1771142400,0.12,0.19,0.18,0.14,0.215,0.195,0.165,0.165,0.195
02-15-2026 09:00,1771146000,0.12,0.19,0.125,0.135,0.24,0.18,0.18,0.21,0.19
02-15-2026 10:00,1771149600,0.12,0.17,0.13,0.165,0.24,0.17,0.165,0.155,0.2
02-15-2026 11:00,1771153200,0.12,0.16,0.125,0.125,0.215,0.18,0.155,0.13,0.17
02-15-2026 12:00,1771156800,0.1,0.18,0.15,0.145,0.22,0.255,0.175,0.16,0.185
02-15-2026 13:00,1771160400,0.1,0.2,0.125,0.15,0.2,0.165,0.18,0.13,0.165
02-15-2026 14:00,1771164000,0.1,0.16,0.1,0.27,0.2,0.175,0.105,0.11,0.15
