Date (UTC),Timestamp (UTC),<1.0%,1.0–1.5%,1.5–2.0%,2.0–2.5%,2.5–3.0%,3.0–3.5%,≥3.5%
12-24-2025 00:00,1766534400,0.105,0.475,0.24,0.29,0.24,0.24,0.485
12-24-2025 01:00,1766538000,0.115,0.43,0.235,0.29,0.24,0.24,0.485
12-24-2025 02:00,1766541600,0.125,0.455,0.27,0.29,0.24,0.24,0.425
12-24-2025 03:00,1766545200,0.115,0.425,0.305,0.285,0.235,0.235,0.485
12-24-2025 04:00,1766548800,0.095,0.48,0.25,0.29,0.24,0.245,0.455
12-24-2025 05:00,1766552400,0.125,0.41,0.245,0.29,0.24,0.26,0.405
12-24-2025 06:00,1766556000,0.105,0.405,0.24,0.29,0.24,0.245,0.405
12-24-2025 07:00,1766559600,0.125,0.475,0.23,0.295,0.245,0.245,0.485
12-24-2025 08:00,1766563200,0.12,0.41,0.27,0.295,0.245,0.255,0.36
12-24-2025 09:00,1766566800,0.12,0.35,0.28,0.31,0.265,0.26,0.33
12-24-2025 10:00,1766570400,0.125,0.335,0.29,0.28,0.265,0.265,0.305
12-24-2025 11:00,1766574000,0.115,0.335,0.285,0.255,0.255,0.26,0.365
12-24-2025 12:00,1766577600,0.115,0.37,0.305,0.305,0.26,0.255,0.45
12-24-2025 13:00,1766581200,0.11,0.405,0.3,0.285,0.265,0.265,0.35
12-24-2025 14:00,1766584800,0.12,0.315,0.305,0.305,0.265,0.265,0.35
12-24-2025 15:00,1766588400,0.14,0.295,0.275,0.29,0.255,0.26,0.5
12-24-2025 16:00,1766592000,0.125,0.315,0.28,0.315,0.265,0.255,0.295
12-24-2025 17:00,1766595600,0.135,0.305,0.285,0.26,0.255,0.225,0.27
12-24-2025 18:00,1766599200,0.135,0.31,0.295,0.235,0.23,0.245,0.27
12-24-2025 19:00,1766602800,0.15,0.265,0.29,0.19,0.19,0.295,0.28
12-24-2025 20:00,1766606400,0.14,0.21,0.29,0.145,0.145,0.335,0.255
12-24-2025 21:00,1766610000,0.125,0.265,0.335,0.205,0.22,0.29,0.31
12-24-2025 22:00,1766613600,0.125,0.29,0.28,0.245,0.245,0.285,0.32
12-24-2025 23:00,1766617200,0.13,0.28,0.295,0.265,0.24,0.285,0.315
12-25-2025 00:00,1766620800,0.125,0.225,0.325,0.245,0.185,0.305,0.265
12-25-2025 01:00,1766624400,0.15,0.24,0.275,0.165,0.155,0.235,0.245
12-25-2025 02:00,1766628000,0.155,0.28,0.21,0.22,0.21,0.27,0.31
12-25-2025 03:00,1766631600,0.11,0.275,0.235,0.23,0.235,0.27,0.41
12-25-2025 04:00,1766635200,0.11,0.235,0.24,0.22,0.19,0.27,0.405
12-25-2025 05:00,1766638800,0.115,0.195,0.255,0.21,0.215,0.23,0.38
12-25-2025 06:00,1766642400,0.13,0.23,0.235,0.195,0.195,0.27,0.42
12-25-2025 07:00,1766646000,0.125,0.21,0.245,0.2,0.2,0.25,0.39
12-25-2025 08:00,1766649600,0.155,0.17,0.25,0.145,0.15,0.24,0.385
12-25-2025 09:00,1766653200,0.135,0.215,0.24,0.26,0.24,0.26,0.315
12-25-2025 10:00,1766656800,0.13,0.25,0.24,0.235,0.24,0.25,0.27
12-25-2025 11:00,1766660400,0.135,0.195,0.295,0.19,0.22,0.25,0.245
12-25-2025 12:00,1766664000,0.15,0.2,0.31,0.18,0.235,0.245,0.255
12-25-2025 13:00,1766667600,0.125,0.225,0.275,0.22,0.205,0.275,0.275
12-25-2025 14:00,1766671200,0.115,0.235,0.28,0.19,0.185,0.27,0.275
12-25-2025 15:00,1766674800,0.115,0.205,0.295,0.215,0.195,0.255,0.275
12-25-2025 16:00,1766678400,0.105,0.22,0.3,0.225,0.195,0.275,0.275
12-25-2025 17:00,1766682000,0.1,0.22,0.315,0.19,0.16,0.29,0.255
12-25-2025 18:00,1766685600,0.1,0.215,0.315,0.19,0.18,0.275,0.28
12-25-2025 19:00,1766689200,0.085,0.23,0.315,0.225,0.185,0.28,0.285
12-25-2025 20:00,1766692800,0.085,0.25,0.315,0.225,0.21,0.28,0.29
12-25-2025 21:00,1766696400,0.085,0.235,0.335,0.21,0.205,0.28,0.28
12-25-2025 22:00,1766700000,0.095,0.29,0.335,0.28,0.22,0.275,0.28
12-25-2025 23:00,1766703600,0.095,0.24,0.335,0.225,0.19,0.275,0.275
12-26-2025 00:00,1766707200,0.095,0.215,0.335,0.22,0.18,0.275,0.28
12-26-2025 01:00,1766710800,0.095,0.26,0.33,0.305,0.2,0.3,0.28
12-26-2025 02:00,1766714400,0.085,0.26,0.335,0.24,0.2,0.295,0.285
12-26-2025 03:00,1766718000,0.085,0.265,0.325,0.225,0.195,0.29,0.305
12-26-2025 04:00,1766721600,0.085,0.28,0.33,0.225,0.2,0.275,0.275
12-26-2025 05:00,1766725200,0.075,0.255,0.32,0.225,0.175,0.275,0.285
12-26-2025 06:00,1766728800,0.075,0.23,0.32,0.31,0.185,0.28,0.305
12-26-2025 07:00,1766732400,0.075,0.25,0.3,0.25,0.19,0.29,0.295
12-26-2025 08:00,1766736000,0.075,0.195,0.295,0.175,0.17,0.255,0.295
12-26-2025 09:00,1766739600,0.075,0.185,0.295,0.18,0.155,0.28,0.305
12-26-2025 10:00,1766743200,0.075,0.2,0.305,0.17,0.13,0.245,0.29
12-26-2025 11:00,1766746800,0.075,0.2,0.32,0.17,0.14,0.26,0.285
12-26-2025 12:00,1766750400,0.075,0.18,0.325,0.165,0.115,0.245,0.29
12-26-2025 13:00,1766754000,0.075,0.2,0.33,0.16,0.17,0.235,0.275
12-26-2025 14:00,1766757600,0.075,0.205,0.315,0.18,0.125,0.265,0.25
12-26-2025 15:00,1766761200,0.075,0.23,0.315,0.14,0.16,0.24,0.26
12-26-2025 16:00,1766764800,0.075,0.195,0.325,0.18,0.095,0.245,0.255
12-26-2025 17:00,1766768400,0.075,0.205,0.31,0.165,0.145,0.245,0.265
12-26-2025 18:00,1766772000,0.075,0.2,0.305,0.165,0.175,0.265,0.265
12-26-2025 19:00,1766775600,0.115,0.15,0.38,0.12,0.18,0.225,0.22
12-26-2025 20:00,1766779200,0.125,0.135,0.36,0.155,0.175,0.185,0.21
12-26-2025 21:00,1766782800,0.1,0.12,0.375,0.135,0.2,0.185,0.195
