Date (UTC),Timestamp (UTC),<-150k,-150k – -100k,-100k – -50k,-50k – 0,0 – 50k,50k – 100k,100k+
03-11-2026 18:00,1773252000,0.365,0.315,0.315,0.315,0.315,0.315,0.415
03-11-2026 19:00,1773255600,0.365,0.315,0.31,0.315,0.315,0.315,0.415
03-11-2026 20:00,1773259200,0.365,0.315,0.315,0.315,0.315,0.315,0.415
03-11-2026 21:00,1773262800,0.2,0.315,0.32,0.32,0.35,0.345,0.425
03-11-2026 22:00,1773266400,0.12,0.315,0.32,0.32,0.35,0.345,0.425
03-11-2026 23:00,1773270000,0.125,0.315,0.32,0.32,0.35,0.345,0.375
03-12-2026 00:00,1773273600,0.255,0.315,0.32,0.32,0.345,0.34,0.37
03-12-2026 01:00,1773277200,0.345,0.335,0.305,0.375,0.275,0.38,0.39
03-12-2026 02:00,1773280800,0.345,0.205,0.205,0.255,0.195,0.225,0.225
03-12-2026 03:00,1773284400,0.16,0.1,0.15,0.2,0.17,0.17,0.16
03-12-2026 04:00,1773288000,0.155,0.105,0.15,0.2,0.17,0.17,0.16
03-12-2026 05:00,1773291600,0.155,0.105,0.15,0.2,0.175,0.175,0.165
03-12-2026 06:00,1773295200,0.12,0.1,0.14,0.12,0.175,0.175,0.165
03-12-2026 07:00,1773298800,0.065,0.1,0.14,0.12,0.175,0.175,0.165
03-12-2026 08:00,1773302400,0.07,0.1,0.14,0.13,0.18,0.18,0.155
03-12-2026 09:00,1773306000,0.075,0.115,0.135,0.155,0.18,0.18,0.165
03-12-2026 10:00,1773309600,0.075,0.115,0.135,0.155,0.185,0.185,0.165
03-12-2026 11:00,1773313200,0.07,0.115,0.135,0.155,0.185,0.195,0.165
03-12-2026 12:00,1773316800,0.07,0.115,0.135,0.155,0.185,0.195,0.165
03-12-2026 13:00,1773320400,0.07,0.115,0.135,0.155,0.185,0.195,0.165
03-12-2026 14:00,1773324000,0.075,0.115,0.135,0.155,0.185,0.195,0.165
03-12-2026 15:00,1773327600,0.065,0.105,0.135,0.145,0.2,0.2,0.17
03-12-2026 16:00,1773331200,0.065,0.11,0.135,0.145,0.19,0.205,0.17
03-12-2026 17:00,1773334800,0.065,0.11,0.135,0.145,0.185,0.205,0.17
03-12-2026 18:00,1773338400,0.065,0.11,0.135,0.14,0.185,0.2,0.17
03-12-2026 19:00,1773342000,0.06,0.095,0.135,0.13,0.185,0.2,0.175
03-12-2026 20:00,1773345600,0.06,0.095,0.135,0.13,0.185,0.2,0.175
03-12-2026 21:00,1773349200,0.06,0.095,0.135,0.13,0.185,0.2,0.175
03-12-2026 22:00,1773352800,0.06,0.095,0.135,0.13,0.185,0.2,0.175
03-12-2026 23:00,1773356400,0.055,0.095,0.115,0.125,0.195,0.195,0.175
