Date (UTC),Timestamp (UTC),≤3.9%,4.0%,4.1%,4.2%,4.3%,4.4%,4.5%,4.6%,≥4.7%
02-13-2026 23:00,1771023600,0.175,0.205,0.445,0.44,0.415,0.405,0.405,0.405,0.26
02-14-2026 00:00,1771027200,0.185,0.215,0.405,0.405,0.405,0.395,0.395,0.405,0.26
02-14-2026 01:00,1771030800,0.19,0.215,0.285,0.3,0.32,0.28,0.28,0.3,0.265
02-14-2026 02:00,1771034400,0.145,0.195,0.265,0.245,0.255,0.24,0.245,0.255,0.275
02-14-2026 03:00,1771038000,0.14,0.175,0.25,0.27,0.27,0.27,0.27,0.26,0.25
02-14-2026 04:00,1771041600,0.14,0.185,0.26,0.275,0.275,0.305,0.275,0.265,0.255
02-14-2026 05:00,1771045200,0.14,0.18,0.255,0.27,0.27,0.28,0.28,0.26,0.25
02-14-2026 06:00,1771048800,0.13,0.18,0.255,0.27,0.27,0.285,0.285,0.26,0.25
02-14-2026 07:00,1771052400,0.13,0.18,0.255,0.27,0.27,0.23,0.275,0.26,0.25
02-14-2026 08:00,1771056000,0.13,0.18,0.255,0.27,0.27,0.265,0.27,0.26,0.245
02-14-2026 09:00,1771059600,0.13,0.185,0.26,0.265,0.265,0.27,0.27,0.26,0.245
02-14-2026 10:00,1771063200,0.125,0.175,0.245,0.265,0.26,0.26,0.265,0.26,0.24
02-14-2026 11:00,1771066800,0.125,0.175,0.25,0.265,0.265,0.26,0.265,0.255,0.245
02-14-2026 12:00,1771070400,0.125,0.175,0.24,0.265,0.26,0.26,0.265,0.26,0.235
02-14-2026 13:00,1771074000,0.125,0.175,0.25,0.265,0.26,0.26,0.265,0.26,0.24
02-14-2026 14:00,1771077600,0.125,0.17,0.255,0.265,0.26,0.24,0.24,0.255,0.22
02-14-2026 15:00,1771081200,0.125,0.165,0.25,0.26,0.255,0.24,0.24,0.255,0.215
02-14-2026 16:00,1771084800,0.125,0.17,0.255,0.265,0.26,0.24,0.24,0.255,0.22
02-14-2026 17:00,1771088400,0.125,0.17,0.255,0.265,0.26,0.24,0.24,0.255,0.22
02-14-2026 18:00,1771092000,0.12,0.17,0.255,0.265,0.26,0.24,0.24,0.255,0.22
02-14-2026 19:00,1771095600,0.125,0.17,0.255,0.265,0.26,0.24,0.24,0.255,0.22
02-14-2026 21:00,1771102800,0.125,0.17,0.255,0.265,0.26,0.245,0.24,0.255,0.22
02-14-2026 22:00,1771106400,0.11,0.17,0.255,0.265,0.26,0.245,0.22,0.255,0.215
02-14-2026 23:00,1771110000,0.105,0.17,0.245,0.26,0.25,0.235,0.225,0.24,0.205
02-15-2026 00:00,1771113600,0.1,0.17,0.255,0.265,0.24,0.235,0.155,0.23,0.19
02-15-2026 01:00,1771117200,0.1,0.175,0.2,0.265,0.255,0.24,0.24,0.25,0.21
02-15-2026 02:00,1771120800,0.1,0.165,0.23,0.265,0.24,0.23,0.17,0.225,0.195
02-15-2026 03:00,1771124400,0.1,0.15,0.24,0.235,0.235,0.245,0.235,0.225,0.185
02-15-2026 04:00,1771128000,0.095,0.175,0.245,0.25,0.26,0.245,0.22,0.24,0.21
02-15-2026 05:00,1771131600,0.075,0.16,0.225,0.245,0.26,0.23,0.235,0.235,0.205
02-15-2026 06:00,1771135200,0.08,0.16,0.19,0.255,0.235,0.245,0.215,0.235,0.21
02-15-2026 07:00,1771138800,0.075,0.16,0.23,0.265,0.26,0.245,0.235,0.25,0.215
02-15-2026 08:00,1771142400,0.075,0.135,0.21,0.26,0.255,0.235,0.21,0.245,0.21
02-15-2026 09:00,1771146000,0.08,0.16,0.225,0.265,0.235,0.23,0.235,0.24,0.21
02-15-2026 10:00,1771149600,0.08,0.15,0.16,0.265,0.25,0.23,0.23,0.24,0.21
02-15-2026 11:00,1771153200,0.08,0.15,0.22,0.26,0.255,0.23,0.205,0.235,0.21
02-15-2026 12:00,1771156800,0.08,0.155,0.22,0.26,0.255,0.23,0.205,0.235,0.21
02-15-2026 13:00,1771160400,0.075,0.13,0.2,0.26,0.255,0.24,0.135,0.24,0.2
02-15-2026 14:00,1771164000,0.08,0.145,0.22,0.255,0.245,0.23,0.225,0.24,0.2
02-15-2026 15:00,1771167600,0.08,0.15,0.215,0.235,0.29,0.2,0.225,0.225,0.19
02-15-2026 16:00,1771171200,0.09,0.185,0.225,0.215,0.275,0.18,0.195,0.185,0.18
02-15-2026 17:00,1771174800,0.06,0.085,0.115,0.22,0.175,0.16,0.195,0.145,0.135
02-15-2026 18:00,1771178400,0.075,0.085,0.115,0.18,0.195,0.15,0.175,0.135,0.14
02-15-2026 19:00,1771182000,0.085,0.085,0.105,0.18,0.195,0.2,0.185,0.13,0.14
02-15-2026 20:00,1771185600,0.08,0.085,0.105,0.18,0.195,0.21,0.205,0.12,0.145
02-15-2026 21:00,1771189200,0.075,0.085,0.105,0.175,0.19,0.195,0.24,0.11,0.085
02-15-2026 22:00,1771192800,0.075,0.085,0.105,0.175,0.19,0.195,0.22,0.08,0.105
02-15-2026 23:00,1771196400,0.075,0.085,0.105,0.18,0.19,0.195,0.22,0.08,0.085
02-16-2026 00:00,1771200000,0.075,0.085,0.105,0.17,0.19,0.195,0.22,0.075,0.085
02-16-2026 01:00,1771203600,0.075,0.085,0.115,0.175,0.19,0.19,0.22,0.085,0.1
02-16-2026 02:00,1771207200,0.05,0.085,0.105,0.17,0.185,0.185,0.22,0.08,0.095
02-16-2026 03:00,1771210800,0.05,0.085,0.085,0.155,0.175,0.155,0.21,0.075,0.12
02-16-2026 04:00,1771214400,0.075,0.085,0.085,0.165,0.185,0.175,0.175,0.045,0.23
02-16-2026 05:00,1771218000,0.075,0.085,0.085,0.175,0.2,0.095,0.145,0.045,0.205
02-16-2026 06:00,1771221600,0.055,0.085,0.085,0.16,0.195,0.105,0.165,0.045,0.145
02-16-2026 07:00,1771225200,0.065,0.085,0.1,0.145,0.175,0.12,0.175,0.075,0.18
02-16-2026 08:00,1771228800,0.055,0.085,0.095,0.155,0.18,0.1,0.15,0.06,0.205
02-16-2026 09:00,1771232400,0.07,0.085,0.095,0.17,0.2,0.115,0.15,0.06,0.245
02-16-2026 10:00,1771236000,0.07,0.1,0.11,0.16,0.155,0.105,0.18,0.155,0.25
02-16-2026 11:00,1771239600,0.075,0.085,0.15,0.115,0.15,0.09,0.17,0.165,0.25
02-16-2026 12:00,1771243200,0.06,0.105,0.15,0.115,0.18,0.08,0.17,0.175,0.25
02-16-2026 13:00,1771246800,0.055,0.105,0.09,0.125,0.1,0.09,0.13,0.18,0.245
02-16-2026 14:00,1771250400,0.055,0.105,0.085,0.125,0.13,0.115,0.13,0.175,0.245
02-16-2026 15:00,1771254000,0.055,0.09,0.085,0.15,0.095,0.09,0.13,0.175,0.23
02-16-2026 16:00,1771257600,0.065,0.08,0.085,0.155,0.115,0.1,0.13,0.16,0.26
02-16-2026 17:00,1771261200,0.065,0.09,0.135,0.13,0.13,0.12,0.14,0.175,0.205
02-16-2026 18:00,1771264800,0.07,0.09,0.155,0.13,0.11,0.1,0.135,0.175,0.195
02-16-2026 19:00,1771268400,0.07,0.095,0.165,0.13,0.125,0.115,0.13,0.165,0.185
02-16-2026 20:00,1771272000,0.07,0.095,0.165,0.13,0.11,0.105,0.14,0.16,0.245
02-16-2026 21:00,1771275600,0.065,0.085,0.155,0.16,0.155,0.15,0.155,0.15,0.15
02-16-2026 22:00,1771279200,0.065,0.09,0.15,0.17,0.155,0.2,0.155,0.1,0.13
02-16-2026 23:00,1771282800,0.065,0.1,0.155,0.165,0.16,0.19,0.165,0.1,0.13
02-17-2026 00:00,1771286400,0.065,0.095,0.15,0.17,0.16,0.19,0.16,0.125,0.105
02-17-2026 01:00,1771290000,0.065,0.1,0.155,0.17,0.16,0.205,0.16,0.1,0.13
02-17-2026 02:00,1771293600,0.065,0.1,0.155,0.16,0.16,0.2,0.16,0.115,0.13
02-17-2026 03:00,1771297200,0.065,0.1,0.155,0.145,0.16,0.205,0.16,0.115,0.125
02-17-2026 04:00,1771300800,0.065,0.1,0.14,0.16,0.16,0.205,0.16,0.11,0.13
02-17-2026 05:00,1771304400,0.065,0.1,0.14,0.175,0.16,0.21,0.16,0.12,0.13
02-17-2026 06:00,1771308000,0.065,0.095,0.14,0.17,0.16,0.205,0.16,0.1,0.125
02-17-2026 07:00,1771311600,0.065,0.1,0.14,0.185,0.16,0.22,0.16,0.095,0.13
02-17-2026 08:00,1771315200,0.065,0.09,0.135,0.185,0.16,0.21,0.16,0.125,0.125
02-17-2026 09:00,1771318800,0.06,0.09,0.135,0.145,0.16,0.215,0.16,0.125,0.125
02-17-2026 10:00,1771322400,0.06,0.085,0.135,0.145,0.16,0.215,0.16,0.125,0.13
02-17-2026 11:00,1771326000,0.06,0.085,0.135,0.145,0.16,0.215,0.16,0.125,0.13
02-17-2026 12:00,1771329600,0.06,0.09,0.135,0.145,0.16,0.215,0.16,0.125,0.13
02-17-2026 13:00,1771333200,0.06,0.09,0.135,0.215,0.16,0.195,0.16,0.125,0.13
02-17-2026 14:00,1771336800,0.06,0.09,0.135,0.21,0.16,0.175,0.16,0.125,0.13
02-17-2026 15:00,1771340400,0.055,0.09,0.135,0.215,0.16,0.195,0.16,0.125,0.13
02-17-2026 16:00,1771344000,0.05,0.085,0.13,0.19,0.16,0.27,0.16,0.11,0.12
02-17-2026 17:00,1771347600,0.05,0.085,0.13,0.19,0.16,0.23,0.16,0.1,0.105
02-17-2026 18:00,1771351200,0.05,0.085,0.13,0.195,0.16,0.23,0.16,0.1,0.105
02-17-2026 19:00,1771354800,0.05,0.08,0.13,0.195,0.16,0.23,0.16,0.09,0.105
02-17-2026 20:00,1771358400,0.05,0.08,0.13,0.215,0.16,0.23,0.16,0.09,0.12
02-17-2026 21:00,1771362000,0.05,0.08,0.13,0.21,0.16,0.23,0.16,0.09,0.12
02-17-2026 22:00,1771365600,0.05,0.08,0.13,0.195,0.16,0.23,0.16,0.095,0.125
02-17-2026 23:00,1771369200,0.05,0.085,0.13,0.195,0.16,0.23,0.16,0.09,0.125
02-18-2026 00:00,1771372800,0.05,0.085,0.13,0.205,0.16,0.23,0.16,0.09,0.125
02-18-2026 01:00,1771376400,0.05,0.085,0.13,0.18,0.16,0.23,0.16,0.09,0.14
02-18-2026 02:00,1771380000,0.05,0.085,0.13,0.175,0.16,0.23,0.16,0.09,0.12
02-18-2026 03:00,1771383600,0.05,0.085,0.13,0.175,0.16,0.23,0.16,0.09,0.12
02-18-2026 04:00,1771387200,0.05,0.075,0.13,0.185,0.155,0.23,0.16,0.09,0.125
02-18-2026 05:00,1771390800,0.05,0.075,0.13,0.185,0.165,0.23,0.16,0.09,0.125
02-18-2026 06:00,1771394400,0.05,0.075,0.13,0.18,0.165,0.23,0.16,0.09,0.135
02-18-2026 07:00,1771398000,0.05,0.075,0.13,0.175,0.165,0.23,0.16,0.09,0.125
02-18-2026 08:00,1771401600,0.05,0.075,0.13,0.175,0.165,0.23,0.16,0.09,0.135
02-18-2026 09:00,1771405200,0.05,0.075,0.13,0.18,0.17,0.23,0.16,0.09,0.125
02-18-2026 10:00,1771408800,0.05,0.075,0.13,0.17,0.17,0.23,0.16,0.09,0.125
02-18-2026 11:00,1771412400,0.05,0.075,0.13,0.175,0.17,0.23,0.16,0.095,0.12
02-18-2026 12:00,1771416000,0.05,0.075,0.13,0.175,0.17,0.23,0.16,0.09,0.125
02-18-2026 13:00,1771419600,0.05,0.075,0.13,0.175,0.17,0.23,0.16,0.09,0.12
02-18-2026 14:00,1771423200,0.05,0.075,0.13,0.17,0.17,0.23,0.16,0.095,0.13
02-18-2026 15:00,1771426800,0.05,0.075,0.13,0.17,0.17,0.23,0.16,0.095,0.12
02-18-2026 16:00,1771430400,0.05,0.075,0.13,0.17,0.17,0.23,0.16,0.095,0.13
02-18-2026 17:00,1771434000,0.05,0.075,0.13,0.17,0.17,0.23,0.16,0.095,0.12
02-18-2026 18:00,1771437600,0.05,0.075,0.13,0.17,0.17,0.23,0.16,0.095,0.13
02-18-2026 19:00,1771441200,0.05,0.075,0.125,0.18,0.245,0.235,0.15,0.095,0.13
02-18-2026 20:00,1771444800,0.05,0.075,0.125,0.18,0.245,0.235,0.15,0.095,0.12
02-18-2026 21:00,1771448400,0.05,0.075,0.125,0.225,0.245,0.235,0.15,0.095,0.125
02-18-2026 22:00,1771452000,0.05,0.075,0.125,0.185,0.225,0.235,0.15,0.095,0.125
02-18-2026 23:00,1771455600,0.05,0.075,0.125,0.195,0.255,0.235,0.15,0.095,0.12
02-19-2026 00:00,1771459200,0.05,0.075,0.125,0.19,0.24,0.235,0.15,0.095,0.13
